Subject,Start Date,Start Time,End Date,End Time,All day Event,Description
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,06/02/2026,7:00:00 a.m.,06/02/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,06/02/2026,4:00:00 p.m.,06/02/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,06/02/2026,12:00:00 p.m.,06/02/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,06/02/2026,10:00:00 a.m.,06/02/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,09/02/2026,4:00:00 p.m.,09/02/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,09/02/2026,2:00:00 p.m.,09/02/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,09/02/2026,8:00:00 a.m.,09/02/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,10/02/2026,4:00:00 p.m.,10/02/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,10/02/2026,7:00:00 a.m.,10/02/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,10/02/2026,2:00:00 p.m.,10/02/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,11/02/2026,4:00:00 p.m.,11/02/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,11/02/2026,2:00:00 p.m.,11/02/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,11/02/2026,10:00:00 a.m.,11/02/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,11/02/2026,12:00:00 p.m.,11/02/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,12/02/2026,2:00:00 p.m.,12/02/2026,4:00:00 p.m.,FALSE,
